school_name,discipline
ShanghaiTech University,材料科学与工程
Shanghai University of Sport,体育学
Shanghai International Studies University,外国语言文学
Shanghai Conservatory of Music,音乐与舞蹈学
Shanghai University of Traditional Chinese Medicine,中医学、中药学
Shihezi University,化学工程与技术
Capital Normal University,数学
Sichuan University,数学、化学、材料科学与工程、基础医学、口腔医学、护理学
Sichuan Agricultural University,作物学
Soochow University,材料科学与工程
Taiyuan University of Technology,化学工程与技术
Tianjin University,化学、材料科学与工程、动力工程及工程热物理、化学工程与技术、管理科学与工程
Tiangong University,纺织科学与工程
Tianjin Medical University,临床医学
Tianjin University of Traditional Chinese Medicine,中药学
Tongji University,生物学、建筑学、土木工程、测绘科学与技术、环境科学与工程、城乡规划学、风景园林学、设计学
China Foreign Affairs University,政治学
Wuhan University,理论经济学、法学、马克思主义理论、化学、地球物理学、生物学、土木工程、水利工程、测绘科学与技术、口腔医学、图书情报与档案管理
Wuhan University of Technology,材料科学与工程
Xi'an University of Electronic Science and Technology,信息与通信工程、计算机科学与技术
Xi'an Jiaotong University,力学、机械工程、材料科学与工程、动力工程及工程热物理、电气工程、控制科学与工程、管理科学与工程、工商管理
Northwest University,考古学、地质学
Northwestern Polytechnical University,机械工程、材料科学与工程、航空宇航科学与技术
Northwest A&F University,植物保护、畜牧学
Tibet University,生态学
Southwestern University of Finance and Economics,应用经济学
Southwest University,教育学、生物学
Southwest Jiaotong University,交通运输工程
Southwest Petroleum University,石油与天然气工程
Xiangtan University,数学
Xinjiang University,马克思主义理论、化学、计算机科学与技术
Yanbian University,外国语言文学
Yunnan University,民族学、生态学
Chang'an University,交通运输工程
Zhejiang University,化学、生物学、生态学、机械工程、光学工程、材料科学与工程、动力工程及工程热物理、电气工程、控制科学与工程、计算机科学与技术、土木工程、农业工程、环境科学与工程、软件工程、园艺学、植物保护、基础医学、临床医学、药学、管理科学与工程、农林经济管理
Zhengzhou University,化学、材料科学与工程、临床医学
Communication University of China,新闻传播学、戏剧与影视学
China University of Geosciences (Beijing),地质学、地质资源与地质工程
China University of Geosciences (Wuhan),地质学、地质资源与地质工程
Ocean University of China,海洋科学、水产
University of Science and Technology of China,数学、物理学、化学、天文学、地球物理学、生物学、科学技术史、材料科学与工程、计算机科学与技术、核科学与技术、安全科学与工程
University of the Chinese Academy of Sciences,化学、材料科学与工程
China University of Mining and Technology,矿业工程、安全科学与工程
China University of Mining and Technology (Beijing),矿业工程、安全科学与工程
China Academy of Art,美术学
China Agricultural University,生物学、农业工程、食品科学与工程、作物学、农业资源与环境、植物保护、畜牧学、兽医学、草学
Renmin University of China,哲学、理论经济学、应用经济学、法学、政治学、社会学、马克思主义理论、新闻传播学、中国史、统计学、工商管理、农林经济管理、公共管理、图书情报与档案管理
People's Public Security University of China,公安学
China University of Petroleum (Beijing),地质资源与地质工程、石油与天然气工程
China University of Petroleum (East China),地质资源与地质工程、石油与天然气工程
China Pharmaceutical University,中药学
China Conservatory of Music,音乐与舞蹈学
China University of Political Science and Law,法学
Zhongnan University of Economics and Law,法学
Central South University,数学、材料科学与工程、冶金工程、矿业工程、交通运输工程
Sun Yat-sen University,哲学、数学、化学、生物学、生态学、材料科学与工程、电子科学与技术、基础医学、临床医学、药学、工商管理
Central University of Finance and Economics,应用经济学
Central Academy of Fine Arts,美术学、设计学
Minzu University of China,民族学
The Central Academy of Drama,戏剧与影视学
Central Conservatory of Music,音乐与舞蹈学
